id,Station_Name,RailLines_Served,Jurisdiction,id,Connecting_BusRoutes,Transit_Connections
87,Rockville,"MARC: Brunswick Line; Amtrak","City of Rockville",52,"054 056 071 080 094 105 115 120 150 154 320 CityLink Blue CityLink Orange CityLink Purple","BaltimoreLink Core Bus; Communter Bus"
87,Rockville,"MARC: Brunswick Line; Amtrak","City of Rockville",53,"RTA 504","Local Transit"
87,Rockville,"MARC: Brunswick Line; Amtrak","City of Rockville",54,"Harford Transit LINK","Local Transit"
87,Rockville,"MARC: Brunswick Line; Amtrak","City of Rockville",55,"028 030 031 034 080 082 089 094","BaltimoreLink Core Bus"
87,Rockville,"MARC: Brunswick Line; Amtrak","City of Rockville",56,"093 CityLink Red","BaltimoreLink Core Bus"
87,Rockville,"MARC: Brunswick Line; Amtrak","City of Rockville",57,"WMATA Metrobus Ride On","WMATA Metrobus; Local Transit"
87,Rockville,"MARC: Brunswick Line; Amtrak","City of Rockville",58,"204 WMATA Metrobus College Park Routes RTA 302/G  TheBus 14 TheBus 17 Shuttle-UM 104 Shuttle-UM 109","Commuter Bus; WMATA Metrobus; Local Transit"
87,Rockville,"MARC: Brunswick Line; Amtrak","City of Rockville",59,"087 089","BaltimoreLink Core Bus"
87,Rockville,"MARC: Brunswick Line; Amtrak","City of Rockville",60,"Ride On 57","Local Transit"
87,Rockville,"MARC: Brunswick Line; Amtrak","City of Rockville",61,21,"BaltimoreLink Core Bus"
87,Rockville,"MARC: Brunswick Line; Amtrak","City of Rockville",62,"420 Harford Transit LINK","Commuter Bus; Local Transit"
87,Rockville,"MARC: Brunswick Line; Amtrak","City of Rockville",63,"RTA 409","Local Transit"
87,Rockville,"MARC: Brunswick Line; Amtrak","City of Rockville",64,"069 070 215","BaltimoreLink Core Bus; Commuter Bus"
87,Rockville,"MARC: Brunswick Line; Amtrak","City of Rockville",65,"059 160","BaltimoreLink Core Bus"
